"Type","Title","Director","Cast","Country","Date_added","Release_year","Rating","Duration","Listed_in","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney","Rating_category","Age_years","Cross_platform_score","Overall_score"
"TV Show","Nightflyers","","Eoin Macken, David Ajala, Jodie Turner-Smith, Angus Sampson, Sam Strike, Maya Eshet, Brían F. O'Byrne, Gretchen Mol, Miranda Raison","United States","December 2, 2019",2018,"TV-MA","1 Season","TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","18+","5.9/10","61/100",1,0,0,0,"High",6,0.25,0.6
"TV Show","Space Jungle","","Kim Min-hee, Park Yoon-hee, Sun Sung-wook","","December 1, 2019",2016,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows, TV Comedies","all","","39/100",1,0,0,0,"Low",8,0.25,NA
"TV Show","Chocolate","","Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo","South Korea","November 30, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","","7.7/10","49/100",1,0,0,0,"Medium",5,0.25,0.63
"TV Show","Chip and Potato","","Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani","United Kingdom, Canada","November 29, 2019",2019,"TV-Y","2 Seasons","Kids' TV","all","6.2/10","36/100",1,0,0,0,"Low",5,0.25,0.49
"TV Show","La Reina del Sur","","Kate del Castillo, Cristina Urgel, Alberto Jiménez, Juan José Arjona, Humberto Zurita, Dagoberto Gama, Christian Tappán, Miguel de Miguel, Salvador Zerboni, Carmen Navarro, Santiago Meléndez, Juan Carlos Solarte","Mexico, United States, Spain, Colombia","November 29, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","8.0/10","62/100",1,0,0,0,"High",5,0.25,0.71
"TV Show","The Charming Stepmom","","Shahkrit Yamnarm, View Wannarot Sontichai, Krittanai Arsalprakit, Ployshompoo Supasap, Boriboon Chanrueng, Shawankorn Wanthanapisitkul, Duangta Toongkamanee, Daraneenuch Pasutanavin, Phuwin Tangsakyuen, Nuntasai Pisolyabut, Pimmara Charoenpakdee, Thanawat Rattanakitpaisan","","November 29, 2019",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","","37/100",1,0,0,0,"Medium",5,0.25,NA
"TV Show","Levius","","Nobunaga Shimazaki, Junichi Suwabe, Takahiro Sakurai, Ayane Sakura, Hochu Otsuka, Daisuke Ono, Saori Hayami, Mamoru Miyano","Japan","November 28, 2019",2019,"TV-14","1 Season","Anime Series, International TV Shows","","7.0/10","50/100",1,0,0,0,"Medium",5,0.25,0.6
"TV Show","Lugar de Mulher","","","Brazil","November 28, 2019",2019,"TV-MA","1 Season","International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","","4.5/10","26/100",1,0,0,0,"High",5,0.25,0.355
"TV Show","Merry Happy Whatever","","Dennis Quaid, Bridgit Mendler, Brent Morin, Ashley Tisdale, Siobhan Murphy, Adam Rose, Elizabeth Ho, Hayes MacArthur, Garcelle Beauvais, Tyler Ritter, Mason Davis, Lucas Jaye","United States","November 28, 2019",2019,"TV-PG","1 Season","TV Comedies","","6.3/10","51/100",1,0,0,0,"Low",5,0.25,0.57
"TV Show","The Crime","","Magdalena Boczarska, Wojciech Zieliński, Joanna Kulig, Radosław Pazura, Magdalena Zawadzka, Dorota Kolak, Zdzislaw Wardejn, Małgorzata Rożniatowska, Aleksandra Popławska, Lukasz Nowicki, Tamara Arciuch, Rafał Cieszyński, Karolina Kominek","Poland","November 26, 2019",2015,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, TV Dramas","","6.2/10","38/100",1,0,0,0,"High",9,0.25,0.5
"TV Show","Zona Rosa","","Manu NNa, Ana Julia Yeyé, Ray Contreras, Pablo Morán","Mexico","November 26, 2019",2019,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows","","6.0/10","34/100",1,0,0,0,"High",5,0.25,0.47
"TV Show","Dolly Parton's Heartstrings","","Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo","United States","November 22, 2019",2019,"TV-14","1 Season","TV Dramas","16+","7.6/10","57/100",1,0,0,0,"Medium",5,0.25,0.665
"TV Show","Nailed It! Holiday!","","Nicole Byer, Jacques Torres","United States","November 22, 2019",2019,"TV-PG","2 Seasons","Reality TV","","7.7/10","49/100",1,0,0,0,"Low",5,0.25,0.63
"TV Show","Narcoworld: Dope Stories","","","United States","November 22, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries","","6.6/10","41/100",1,0,0,0,"High",5,0.25,0.535
"TV Show","Nobody's Looking","","Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Priscila Sol, Wallie Ruy, Maurício de Barros, Hermínio Ribeiro","Brazil","November 22, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","18+","7.8/10","52/100",1,0,0,0,"High",5,0.25,0.65
"TV Show","Singapore Social","","Nicole Ong, Mae Tan, Sukki Singapora, Vinny Sharp, Paul Foster, Tabitha Nauser","Singapore, United States","November 22, 2019",2019,"TV-MA","1 Season","International TV Shows, Reality TV","","5.1/10","31/100",1,0,0,0,"High",5,0.25,0.41
"TV Show","The Dragon Prince","","Jack De Sena, Paula Burrows, Sasha Rojen, Jason Simpson, Racquel Belmonte, Jesse Inocalla, Luc Roderique, Jonathan Holmes, Adrian Petriw","United States, Canada","November 22, 2019",2019,"TV-Y7","3 Seasons","Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","7+","8.4/10","77/100",1,0,0,0,"Low",5,0.25,0.805
"TV Show","Trolls: The Beat Goes On!","","Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff","United States","November 22, 2019",2019,"TV-Y7","8 Seasons","Kids' TV, TV Comedies","all","5.9/10","48/100",1,0,0,0,"Low",5,0.25,0.535
"TV Show","Bangkok Buddies","","Vayu Kessuvit, Ekapol Deebunmee, Nuttapong Boonyuen, Thanadol Auepongs, Martin Sidel, Nichaphat Chatchaipholrat, Narupornkamol Chaisang, Jidapa Siribunchawan, Hortnarong Teng, Everest Moe, Le Trung Hieu","Thailand","November 20, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas","all","6.8/10","29/100",1,0,0,0,"High",5,0.25,0.485
"TV Show","Holiday Secrets","","Corinna Harfouch, Christiane Paul, Svenja Jung, Leonie Benesch, Anita Vulesica, Barbara Nüsse, Hans-Uwe Bauer, Lorna zu Solms, Tilda Jenkins, Emilie Neumeister, Golo Euler, Dennis Herrmann, Maik Solbach, Merlin Rose","Germany","November 20, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas","16+","6.5/10","44/100",1,0,0,0,"High",5,0.25,0.545
"TV Show","Who Killed Little Gregory?","","","France","November 20, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","","7.4/10","55/100",1,0,0,0,"High",5,0.25,0.645
"TV Show","Miss Culinary","","Wanida Termthanaporn, Jason Young, Thanawin Teeraphosukarn, Thanabordee Jaiyen, Chonnikan Netjui, Passaranan Ussadamongkol, Janya Thanasawangkun, Jaturong Mokjok, Panadda Wongphudee️️","","November 19, 2019",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","","36/100",1,0,0,0,"Medium",5,0.25,NA
"TV Show","Candy Online","","Ruby Zhan, Suun Lin, Sunnie Wang, Dean Tang, Lain Lu, Cheng Ko, Jacqueline Zhu, Chen Wen-shan, Ada Pan","Taiwan","November 17, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas, Teen TV Shows","","5.3/10","34/100",1,0,0,0,"High",5,0.25,0.435
"TV Show","I'm with the Band: Nasty Cherry","","Charli XCX, Emmie Lichtenberg, Gabbriette Bechtel, Chloe Chaidez, Deborah Knox- Hewson, Georgia Somary","United States","November 15, 2019",2019,"TV-MA","1 Season","Reality TV","","6.7/10","38/100",1,0,0,0,"High",5,0.25,0.525
"TV Show","Llama Llama","","Jennifer Garner, Shayle Simons, Vania Gill, Islie Hirvonen, Brendon Sunderland, Austin Abell, Evans Johnson, Kathleen Barr, David Hoole","United States","November 15, 2019",2019,"TV-Y","2 Seasons","Kids' TV","all","6.5/10","33/100",1,0,0,0,"Low",5,0.25,0.49
"TV Show","My MVP Valentine","","Angela Chang, Tony Sun, Johnny Yan, Margaret Lin, David Chen, Sam Wang, Zax Wang, Jason Hsu, Joe Chen","Taiwan","November 15, 2019",2002,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","","6.6/10","32/100",1,0,0,0,"Low",22,0.25,0.49
"TV Show","My Sassy Girl","","Joo Won, Oh Yeon-seo, Lee Jung-shin, Kim Yoon-hye, Sohn Chang-min, Yoon Se-a, Cho Hee-bong, Jung Woong-in, Lee Kyung-hwa","South Korea","November 15, 2019",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","","6.9/10","43/100",1,0,0,0,"Medium",7,0.25,0.56
"TV Show","The Club","","Alejandro Speitzer, Minnie West, Jorge Caballero, Ana González Bello, Axel Arenas, Arcelia Ramírez, Omar Germenos, Anna Ciocchetti, Aurora Gil, Martha Julia, Alejandro Puente, Estrella Solís, Martín Saracho, Sofía de Llaca, Marco Tostado","Mexico","November 15, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","6.3/10","50/100",1,0,0,0,"High",5,0.25,0.565
"TV Show","The Stranded","","Papangkorn Lerkchaleampote, Chayanit Chansangavej, Chutavuth Pattarakampol, Kittisak Patomburana, Sinjai Plengpanich, Oabnithi Wiwattanawarang, Ticha Wongthipkanont, Chaleeda Gilbert, Chanya McClory","Thailand","November 15, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Action & Adventure, TV Dramas","18+","6.3/10","50/100",1,0,0,0,"High",5,0.25,0.565
"TV Show","The Toys That Made Us","","","United States","November 15, 2019",2019,"TV-14","3 Seasons","Docuseries, Reality TV","16+","8.1/10","70/100",1,0,0,0,"Medium",5,0.25,0.755
"TV Show","Westside Story","","Tony Sun, Wallace Huo, Esther Liu, Cyndi Wang, Zax Wang, Sam Wang, Jason Hsu, Whyn Wu, Ben Lee, Vicky Chen","","November 15, 2019",2003,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Action & Adventure","","","18/100",1,0,0,0,"Medium",21,0.25,NA
"TV Show","My Dear Warrior","","Leo Putt, Pimchanok Luevisadpaibul, Suthada Jongjaiphar, Chatra Baude, Claudia Chakrapan, Oabnithi Wiwattanawarang, Varatta Vajrathon, Varot Makaduangkeo, Supasit Chinvinijkul","Thailand","November 14, 2019",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","3.9/10","33/100",1,0,0,0,"Medium",5,0.25,0.36
"TV Show","Maradona in Mexico","","Diego Armando Maradona","Argentina, United States, Mexico","November 13, 2019",2020,"TV-MA","1 Season","Docuseries, Spanish-Language TV Shows","","7.2/10","43/100",1,0,0,0,"High",4,0.25,0.575
"TV Show","Chief of Staff","","Lee Jung-jae, Shin Mina, Lee Elijah, Kim Dong-jun, Jung Jin-young, Kim Kap-soo, Jung Woong-in, Im Won-hee, Kim Hong-pa","South Korea","November 12, 2019",2019,"TV-14","2 Seasons","International TV Shows, Korean TV Shows, TV Dramas","16+","7.9/10","44/100",1,0,0,0,"Medium",5,0.25,0.615
"TV Show","Put Your Head on My Shoulder","","Fair Xing, Lin Yi, Daddi Tang, Yi Sha, Zhou Zixin, Zheng Yingchen, Cai Gang, Liang Aiqi, Rong Rong, He Qiang","China","November 11, 2019",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, Teen TV Shows","7+","8.0/10","51/100",1,0,0,0,"Medium",5,0.25,0.655
"TV Show","Little Things","","Dhruv Sehgal, Mithila Palkar","India","November 9, 2019",2019,"TV-MA","3 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","18+","8.3/10","61/100",1,0,0,0,"High",5,0.25,0.72
"TV Show","Green Eggs and Ham","","Michael Douglas, Adam Devine, Keegan-Michael Key, Eddie Izzard, Jillian Bell, Ilana Glazer, Diane Keaton, Jeffrey Wright, John Turturro, Tracy Morgan, Daveed Diggs","United Kingdom, Canada, United States","November 8, 2019",2019,"TV-Y7","1 Season","Kids' TV, TV Action & Adventure, TV Comedies","7+","8.2/10","63/100",1,0,0,0,"Low",5,0.25,0.725
"TV Show","Wild District","","Juan Pablo Raba, Cristina Umaña, Camila Sodi, Christian Tappán, Juan Fernando Sánchez, Juan Sebastián Calero, Paula Castaño, Nicolás Quiroga, Alina Lozano, Carolina Acevedo, Julio César Pachón, Roberto Cano","Colombia","November 8, 2019",2019,"TV-MA","2 Seasons","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","8.3/10","56/100",1,0,0,0,"High",5,0.25,0.695
"Movie","Shadow","Zhang Yimou","Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu","China, Hong Kong","November 6, 2019",2018,"TV-14","116 min","Action & Adventure, Dramas, International Movies","7+","6.6/10","51/100",1,0,0,0,"Medium",6,0.25,0.585
"TV Show","Sam & Cat","","Jennette McCurdy, Ariana Grande, Cameron Ocasio, Brandon Weaver, Zoran Korach, Dre Swain, Maree Cheatham, Eduardo Drummond, Alondra Hidalgo","United States","November 5, 2019",2014,"TV-PG","2 Seasons","Kids' TV, TV Comedies","7+","5.7/10","59/100",1,0,0,0,"Low",10,0.25,0.58
"TV Show","The End of the F***ing World","","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley, Navin Chowdhry, Wunmi Mosaku, Gemma Whelan, Jonathan Aris, Eileen Davies","United Kingdom","November 5, 2019",2019,"TV-MA","2 Seasons","British TV Shows, International TV Shows, TV Comedies","18+","8.1/10","85/100",1,0,0,0,"High",5,0.25,0.83
"TV Show","Meet the Adebanjos","","Wale Ojo, Yetunde Oduwole, Andrea Aboagye, Daniel Davids, Moji Bamtefa, Jordan Coulson","United Kingdom","November 4, 2019",2016,"TV-PG","3 Seasons","British TV Shows, International TV Shows, TV Comedies","7+","7.6/10","37/100",1,0,0,0,"Low",8,0.25,0.565
"TV Show","The Devil Next Door","","","United States","November 4, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries","18+","7.6/10","70/100",1,0,0,0,"High",5,0.25,0.73
"TV Show","Bella and the Bulldogs","","Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson, Lilimar, Haley Tju, Dorien Wilson, Rio Mangini, Annie Tedesco","United States","November 2, 2019",2015,"TV-G","1 Season","Kids' TV, TV Comedies","all","5.4/10","53/100",1,0,0,0,"Low",9,0.25,0.535
"TV Show","Victorious","","Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande, Avan Jogia, Daniella Monet, Michael Eric Reid, Jake Farrow, Eric Lange","United States","November 2, 2019",2013,"TV-G","3 Seasons","Kids' TV, TV Comedies","7+","6.9/10","68/100",1,0,0,0,"Low",11,0.25,0.685
"TV Show","A Year In Space","","Scott Kelly","United States","November 1, 2019",2015,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV","","7.4/10","41/100",1,0,1,0,"Low",9,0.5,0.575
"TV Show","Ad Vitam","","Yvan Attal, Garance Marillier, Niels Schneider, Victor Assié, Rod Paradot, Anne Azoulay, Adel Bencherif","France","November 1, 2019",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","7+","6.5/10","50/100",1,0,0,0,"High",6,0.25,0.575
"TV Show","Billy on the Street","","Billy Eichner","United States","November 1, 2019",2016,"TV-14","4 Seasons","International TV Shows, Reality TV, TV Comedies","16+","7.8/10","60/100",1,1,0,0,"Medium",8,0.5,0.69
"TV Show","Haikyu!!","","Ayumu Murase, Kaito Ishikawa, Satoshi Hino, Miyu Irino, Yu Hayashi, Koki Uchiyama, Soma Saito, Nobuhiko Okamoto, Yoshimasa Hosoya, Toshiki Masuda, Kaori Nazuka, Hiroshi Kamiya, Kazunari Tanaka, Daisuke Namikawa, Hiroyuki Yoshino, Sumire Morohoshi, Yuichi Nakamura, Yuki Kaji, Shinnosuke Tachibana, Mark Ishii, Ryohei Kimura, Ryota Takeuchi, Hisao Egawa, Subaru Kimura","Japan","November 1, 2019",2015,"TV-14","2 Seasons","Anime Series, International TV Shows, Teen TV Shows","16+","8.7/10","77/100",1,1,0,0,"Medium",9,0.5,0.82
"TV Show","Mobile Suit Gundam: Iron-Blooded Orphans","","Kengo Kawanishi, Yoshimasa Hosoya, Natsuki Hanae, Yuuichirou Umehara, Yasuaki Takumi, Taishi Murata, Kouhei Amasaki, Mutsumi Tamura, Soma Saito, Yuka Terasaki, Hisako Kanemoto, Takahiro Sakurai, Masaya Matsukaze, Toru Okawa","Japan","November 1, 2019",2016,"TV-14","2 Seasons","Anime Series, International TV Shows","18+","7.9/10","56/100",1,0,0,0,"Medium",8,0.25,0.675
"TV Show","Queer Eye: We're in Japan!","","Bobby Berk, Karamo Brown, Tan France, Antoni Porowski, Jonathan Van Ness, Kiko Mizuhara","United States, Japan","November 1, 2019",2019,"TV-14","1 Season","International TV Shows, Reality TV","16+","8.2/10","54/100",1,0,0,0,"Medium",5,0.25,0.68
"TV Show","The Deep","","Vincent Tong, Ashleigh Ball, Kathleen Barr, Michael Dobson, Brian Drummond","Canada, Australia","November 1, 2019",2019,"TV-Y7","3 Seasons","Kids' TV","7+","7.9/10","48/100",1,0,0,0,"Low",5,0.25,0.635
"TV Show","Vientos de agua","","Ernesto Alterio, Eduardo Blanco, Héctor Alterio, Darío Valenzuela, Pablo Rago, Angie Cepeda, Marta Etura, Giulia Michelini, Carlos Kaspar","Argentina, Spain","November 1, 2019",2006,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas","","8.8/10","55/100",1,0,0,0,"High",18,0.25,0.715
"TV Show","We Are the Wave","","Ludwig Simon, Luise Befort, Michelle Barthel, Mohamed Issa, Daniel Friedl, Robert Schupp","Germany","November 1, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Mysteries","18+","6.1/10","52/100",1,0,0,0,"High",5,0.25,0.565
"TV Show","Nowhere Man","DJ Chen","Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long","Taiwan","October 31, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure","18+","5.6/10","40/100",1,0,0,0,"High",5,0.25,0.48
"TV Show","Sleepless Society: Bedtime Wishes","","Shahkrit Yamnarm, Savika Chaiyadej, Supoj Chancharoen, Pairoj Sangwariboot, Suchao Pongwilai, Nataya Chanrung, Papangkorn Lerkchaleampote, Suchada Tongam, Sasin Chow","","October 31, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","","16/100",1,0,0,0,"High",5,0.25,NA
"TV Show","Bring It On, Ghost","Park Joon-hwa","Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun","South Korea","October 30, 2019",2016,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","16+","7.6/10","55/100",1,0,0,0,"Medium",8,0.25,0.655
"TV Show","Tomorrow with You","","Shin Mina, Lee Je-hoon, Kim Ye-won, Cho Han-cheul, Baek Hyeon-jin, Kang Ki-doong, Park Joo-hee, Oh Gwang-rok","South Korea","October 30, 2019",2017,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","","7.5/10","50/100",1,0,0,0,"Medium",7,0.25,0.625
"TV Show","Tunnel","","Todsapol Maisuk, Johnny Hao, Morakot Liu, Pemy Peramin Thabkaew, Phenphet Phenkul, Sumet Ong-Art, Amarin Nitipon, Tor Techathuwanan, Komsan Kajonpaisansuk","","October 30, 2019",2019,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Dramas","16+","8.3/10","56/100",1,0,0,0,"Medium",5,0.25,0.695
"TV Show","Shine On with Reese","","Reese Witherspoon","United States","October 29, 2019",2018,"TV-MA","1 Season","Docuseries, Stand-Up Comedy & Talk Shows","","7.7/10","48/100",1,0,0,0,"High",6,0.25,0.625
"TV Show","Wait, My Youth","","Zhao Yiqin, Li Jiaqi, Li Geyang, Xu Mengyuan, Wu Shuangyi, Dong Yanlei, Vincent Wei","China","October 27, 2019",2019,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, Teen TV Shows","all","8.6/10","39/100",1,0,0,0,"Low",5,0.25,0.625
"TV Show","A Little Thing Called First Love","","Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei, Wang Bowen","China","October 26, 2019",2019,"TV-G","1 Season","International TV Shows, Romantic TV Shows, Teen TV Shows","all","8.0/10","53/100",1,0,1,0,"Low",5,0.5,0.665
"TV Show","BoJack Horseman","","Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins","United States","October 25, 2019",2020,"TV-MA","6 Seasons","TV Comedies","18+","8.7/10","86/100",1,0,0,0,"High",4,0.25,0.865
"TV Show","Brotherhood","","Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner","Brazil","October 25, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","16+","7.6/10","45/100",1,0,1,0,"High",5,0.5,0.605
"TV Show","Drug Squad: Costa del Sol","","Hugo Silva, Álvaro Cervantes, Miki Esparbé, Jesús Castro, Sara Sálamo, Jorge Usón, Cayetana Cabezas, Pablo Béjar, Marco Cáceres, Olivia Delcán, Jorge Suquet, Daniel Holguín, Joaquín Galletero, Carolina Yuste, Ana Fernández","Spain","October 25, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","6.8/10","43/100",1,0,0,0,"High",5,0.25,0.555
"TV Show","Monzón: A Knockout Blow","","Jorge Román, Mauricio Paniagua, Carla Quevedo, Paloma Ker, Soledad Silveyra, Diego Cremonesi, Florencia Raggi, Gustavo Garzón, Yayo Guridi, Fabián Arenillas, Nacho Gadano, Belén Chavanne","Argentina","October 25, 2019",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","18+","7.9/10","51/100",1,0,0,0,"High",6,0.25,0.65
"TV Show","Nailed It! France","","Artus, Noémie Honiat","France","October 25, 2019",2019,"TV-14","1 Season","International TV Shows, Reality TV","16+","6.4/10","37/100",1,0,0,0,"Medium",5,0.25,0.505
"TV Show","Nailed It! Spain","","La Terremoto de Alcorcón, Christian Escribà","Spain","October 25, 2019",2019,"TV-PG","1 Season","International TV Shows, Reality TV, Spanish-Language TV Shows","","5.5/10","29/100",1,0,0,0,"Low",5,0.25,0.42
"TV Show","The Untamed","","Sean Xiao, Wang Yibo, Zoey Meng, Xuan Lu, Yu Bin, Wang Zhuocheng, Liu Haikuan, Zhu Zanjin, Wang Haoxuan, Ji Li","China","October 25, 2019",2019,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Mysteries","16+","9.0/10","66/100",1,0,0,0,"Medium",5,0.25,0.78
"TV Show","Daybreak","","Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick","United States","October 24, 2019",2019,"TV-MA","1 Season","TV Action & Adventure, TV Comedies, TV Horror","18+","6.7/10","69/100",1,0,0,0,"High",5,0.25,0.68
"TV Show","Breakfast, Lunch & Dinner","","David Chang, Seth Rogen, Chrissy Teigen, Lena Waithe, Kate McKinnon","United States","October 23, 2019",2019,"TV-MA","1 Season","Docuseries","18+","6.8/10","51/100",1,0,0,0,"High",5,0.25,0.595
"TV Show","Interior Design Masters","","","United Kingdom","October 18, 2019",2019,"TV-PG","1 Season","British TV Shows, International TV Shows, Reality TV","","6.5/10","49/100",1,0,0,0,"Low",5,0.25,0.57
"TV Show","Little Baby Bum: Nursery Rhyme Friends","","Chloe Marsden, Aaron Marsden, María Esnoz","United Kingdom","October 18, 2019",2019,"TV-Y","2 Seasons","British TV Shows, Kids' TV","all","6.7/10","36/100",1,0,0,0,"Low",5,0.25,0.515
"TV Show","Mighty Little Bheem: Diwali","","Samriddhi Shukla, Nishka Raheja, Arannya Kaur, Shanoor Mirza, Rajesh Kava","India","October 18, 2019",2019,"TV-Y","1 Season","Kids' TV, TV Comedies","","7.5/10","32/100",1,0,0,0,"Low",5,0.25,0.535
"TV Show","Toon","","Joep Vermolen, Amy van der Weerden, Loulou Hameleers, Robbert Bleij","Netherlands","October 18, 2019",2017,"TV-MA","2 Seasons","International TV Shows, TV Comedies","","7.7/10","46/100",1,0,0,0,"High",7,0.25,0.615
"TV Show","Chosen","","Lan Cheng-Lung, Deng JiaJia, Han Pengyi, Sam Hayden-Smith, Jenny Zhou, Paul He, Nathaniel Kelly","China","October 17, 2019",2019,"TV-14","2 Seasons","Crime TV Shows, International TV Shows, TV Action & Adventure","","5.5/10","39/100",1,0,1,0,"Medium",5,0.5,0.47
"TV Show","Another Miss Oh","","Seo Hyun-jin, Eric Moon, Jeon Hye-bin, Ye Ji-won, Kim Ji-seok, Lee Jae-yoon, Lee Han-wi, Kim Mee-kyeong, Oh Man-seok, Lee Pil-mo","South Korea","October 16, 2019",2016,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","","7.9/10","52/100",1,0,0,0,"High",8,0.25,0.655
"TV Show","Black Money Love","Ahmet Katıksız","Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci","Turkey","October 15, 2019",2014,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","","7.3/10","61/100",1,0,0,0,"High",10,0.25,0.67
"TV Show","The Lies Within","","Lee Min-ki, Lee Yoo-young, On Ju-wan, Lee Jun-hyeok, Yun Jong-seok, Kim Jong-soo, Seo Hyun-woo, Song Young-chang, Lee Jun-hyuk","South Korea","October 13, 2019",2019,"TV-14","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows","","7.0/10","48/100",1,0,0,0,"Medium",5,0.25,0.59
